timestamp,page_path,interaction_type,scroll_depth_category,request_interval_seconds,user_agent_category,has_favicon_request,requested_robots_txt,pages_per_session,error_rate,tls_version,cipher_suite_count,extension_count,alpn,sni_present,label
2026-06-26T23:59:13.216651,/checkout.html,rapid_request,none,0.98,script,0,0,128,0.14,TLS1.3,8,4,http/1.1,0,bad_bot
2026-06-27T00:05:29.216651,/checkout.html,rapid_request,none,0.38,python,0,0,174,0.19,TLS1.3,6,6,http/1.1,1,bad_bot
2026-06-26T23:40:38.216651,/robots.txt,crawler_request,none,5.11,good_bot,0,1,14,0.03,TLS1.3,13,14,http/1.1,1,good_bot
2026-06-26T23:29:37.216651,/contact.html,page_view,high,6.13,normal_browser,1,0,3,0.03,TLS1.3,12,16,http/1.1,1,human
2026-06-27T00:03:05.216651,/wp-login.php,scanner_request,none,0.72,python,0,0,210,0.56,TLS1.2,8,7,http/1.1,0,scanner
2026-06-27T01:30:53.216651,/config,scanner_request,none,0.74,python,0,0,99,0.4,TLS1.2,5,5,http/1.1,1,scanner
2026-06-26T23:38:11.216651,/products.html,page_view,medium,12.86,normal_browser,1,0,10,0.01,TLS1.3,13,12,h2,1,human
2026-06-27T00:59:37.216651,/.env,scanner_request,none,0.67,script,0,0,169,0.52,TLS1.2,8,6,http/1.1,0,scanner
2026-06-27T00:59:58.216651,/wp-login.php,scanner_request,none,0.19,curl,0,0,106,0.52,TLS1.3,8,2,http/1.1,0,scanner
2026-06-27T01:24:02.216651,/.env,scanner_request,none,0.48,script,0,0,114,0.3,TLS1.3,3,7,http/1.1,0,scanner
2026-06-27T00:51:06.216651,/wp-login.php,scanner_request,none,0.51,python,0,0,166,0.8,TLS1.3,7,6,http/1.1,1,scanner
2026-06-26T23:22:03.216651,/contact.html,page_view,medium,6.92,normal_browser,1,0,5,0.02,TLS1.3,16,12,http/1.1,1,human
2026-06-26T23:46:45.216651,/admin,scanner_request,none,0.29,script,0,0,237,0.77,TLS1.3,6,6,http/1.1,0,scanner
2026-06-26T23:37:05.216651,/sitemap.xml,crawler_request,none,2.16,good_bot,1,1,37,0.06,TLS1.3,16,8,http/1.1,1,good_bot
2026-06-26T23:26:27.216651,/sitemap.xml,crawler_request,none,3.96,good_bot,0,1,13,0.01,TLS1.3,12,8,h2,1,good_bot
2026-06-27T02:02:13.216651,/phpmyadmin,scanner_request,none,0.65,python,0,0,102,0.69,TLS1.3,6,3,http/1.1,1,scanner
2026-06-26T23:18:11.216651,/about.html,page_view,high,9.41,normal_browser,1,0,8,0.01,TLS1.3,15,12,h2,1,human
2026-06-26T23:21:23.216651,/products.html,button_click,medium,4.95,normal_browser,1,0,2,0.04,TLS1.3,12,16,h2,1,human
